from_state,to_state,count
P_A_PER_NEU,P_M_PER_NEU,56
P_M_REC_DES,P_M_PAS_FAV,56
P_D_PAS_DES,P_A_PAS_FAV,55
P_M_REC_FAV,P_M_REC_FAV,55
P_D_PER_NEU,P_M_PAS_FAV,54
P_D_PER_DES,P_M_PER_FAV,53
P_M_PAS_FAV,P_A_PER_DES,53
P_D_PER_NEU,P_D_REC_DES,52
P_M_PER_NEU,P_A_PAS_FAV,52
P_M_REC_DES,P_A_FIN_DES,52
P_D_PAS_FAV,P_A_PAS_DES,51
P_M_PER_NEU,P_A_PER_DES,51
P_D_REC_DES,P_A_PAS_DES,49
P_M_PAS_NEU,P_M_PAS_DES,49
P_A_PER_NEU,P_A_PAS_FAV,47
P_A_REC_DES,P_D_PER_DES,47
P_A_PER_FAV,P_A_PAS_NEU,46
P_A_FIN_NEU,P_A_PAS_DES,45
P_D_PER_FAV,P_A_REC_FAV,45
P_A_PAS_DES,P_A_FIN_NEU,44
P_A_PAS_FAV,P_D_PAS_FAV,44
P_A_REC_DES,P_M_PER_DES,44
P_D_PER_NEU,P_D_PER_DES,44
P_D_PAS_DES,P_D_REC_FAV,42
P_D_PER_FAV,P_A_PER_FAV,42
P_D_PER_NEU,P_D_PAS_FAV,42
P_A_PAS_NEU,P_A_FIN_FAV,41
P_A_PER_NEU,P_A_PER_DES,41
P_A_PER_FAV,P_D_REC_NEU,40
P_A_REC_FAV,P_A_REC_FAV,40
P_D_REC_FAV,P_M_PER_FAV,40
P_M_PAS_DES,P_M_REC_FAV,40
P_M_REC_DES,P_D_PAS_FAV,40
P_M_REC_NEU,P_D_PAS_NEU,40
P_A_FIN_NEU,P_D_REC_DES,39
P_D_PER_FAV,P_M_PAS_NEU,39
P_M_PER_FAV,P_A_PAS_NEU,39
P_A_PER_NEU,P_D_REC_FAV,38
P_D_PER_DES,P_M_REC_NEU,38
P_D_PER_FAV,P_D_PAS_NEU,38
P_A_PER_NEU,P_M_PER_DES,37
P_M_PAS_FAV,P_M_REC_DES,37
P_M_PAS_NEU,P_D_PAS_DES,37
P_M_PER_NEU,P_D_PER_FAV,37
P_M_REC_FAV,P_M_PAS_DES,37
P_A_FIN_DES,P_M_PER_FAV,36
P_A_FIN_FAV,P_M_PAS_NEU,36
P_A_FIN_FAV,P_M_PER_FAV,36
P_D_PAS_DES,P_D_PER_FAV,36
P_D_PAS_FAV,P_D_REC_FAV,36
P_M_PER_FAV,P_D_REC_NEU,36
P_M_PER_NEU,P_D_REC_FAV,36
P_A_FIN_DES,P_A_PAS_NEU,35
P_A_FIN_NEU,P_M_PAS_FAV,35
P_A_REC_DES,P_D_REC_DES,35
P_D_PER_DES,P_D_PER_NEU,35
P_M_PAS_FAV,P_D_REC_FAV,35
P_A_FIN_NEU,P_D_PER_DES,34
P_A_PAS_FAV,P_D_PER_DES,34
P_M_PAS_DES,P_A_PER_FAV,34
P_A_FIN_NEU,P_M_REC_DES,33
P_A_PER_DES,P_A_REC_FAV,33
P_A_REC_DES,P_M_PAS_FAV,33
P_A_REC_NEU,P_M_PAS_NEU,33
P_M_PER_FAV,P_D_PER_NEU,33
P_A_FIN_DES,P_D_REC_NEU,32
P_A_FIN_FAV,P_D_PAS_NEU,32
P_A_REC_DES,P_D_PAS_FAV,32
P_D_PAS_FAV,P_D_PER_DES,32
P_M_REC_DES,P_A_PAS_FAV,32
P_A_PAS_FAV,P_D_REC_DES,31
