from_state,to_state,probability
S_M_PER_NEU,P_M_PER_NEU,0.033850
S_M_REC_NEU,S_A_PER_NEU,0.033493
S_D_PER_DES,P_M_PER_DES,0.033273
P_D_PER_DES,P_M_PER_DES,0.033002
S_D_PAS_FAV,S_A_PER_FAV,0.032846
P_A_PER_FAV,P_M_REC_FAV,0.032728
P_A_REC_DES,P_M_PAS_DES,0.032715
P_M_PER_DES,P_M_PER_DES,0.032617
P_A_PER_FAV,S_D_PAS_FAV,0.032500
P_D_PER_FAV,S_M_PAS_FAV,0.032357
P_D_PER_FAV,S_M_REC_FAV,0.032122
P_M_PER_NEU,S_D_PER_FAV,0.031500
S_A_REC_NEU,P_D_PAS_NEU,0.031250
S_A_REC_NEU,P_D_PER_FAV,0.031250
S_A_REC_NEU,P_D_PER_NEU,0.031250
S_A_REC_NEU,P_D_REC_DES,0.031250
S_A_REC_NEU,P_M_PAS_NEU,0.031250
S_A_REC_NEU,P_M_REC_NEU,0.031250
S_D_PER_NEU,P_A_REC_NEU,0.031201
P_D_PER_DES,P_M_REC_FAV,0.031168
P_M_REC_FAV,P_D_PAS_FAV,0.031061
P_M_PER_DES,P_D_REC_DES,0.030838
S_A_PER_FAV,P_M_PAS_FAV,0.030579
S_D_REC_FAV,S_M_PAS_FAV,0.030526
P_M_PER_NEU,S_M_REC_FAV,0.030500
P_D_PER_DES,P_A_PAS_DES,0.030382
S_D_REC_DES,S_M_PAS_DES,0.030256
P_A_FIN_FAV,P_D_REC_FAV,0.029989
P_M_PER_DES,S_M_PER_DES,0.029800
S_M_PER_DES,P_D_REC_DES,0.029617
S_D_REC_NEU,P_A_REC_FAV,0.029586
P_A_FIN_FAV,S_D_REC_FAV,0.029580
S_D_REC_DES,P_A_PAS_FAV,0.029480
P_M_PER_FAV,S_D_REC_FAV,0.029226
P_A_PER_DES,S_D_PER_FAV,0.029020
S_D_PER_FAV,P_D_REC_FAV,0.028949
P_A_PER_NEU,P_M_REC_NEU,0.028807
