from_id,to_id,kind,cause,is_restart,count
0,0,intra,,False,286
81,74,intra,,False,285
32,21,flip,tackle,False,284
90,37,flip,other,False,283
39,9,intra,,False,283
29,27,intra,,False,283
84,50,flip,clearance_conceded,False,283
86,0,flip,other,False,282
22,62,flip,other,False,282
46,34,intra,,False,280
62,9,flip,interception,False,279
43,97,flip,foul_won,False,279
37,35,intra,,False,278
43,10,flip,pressure_loss,False,278
86,27,flip,other,False,277
69,80,intra,,False,276
38,44,intra,,False,275
103,86,intra,,False,275
15,39,flip,restart_free_kick,True,275
29,85,flip,pressure_loss,False,275
43,97,flip,tackle,False,274
95,44,flip,restart_throw_in,True,274
15,68,flip,foul_won,False,273
68,9,flip,other,False,273
62,16,flip,other,False,272
1,27,intra,,False,271
74,21,flip,foul_won,False,269
49,4,flip,tackle,False,267
49,5,flip,restart_free_kick,True,263
9,43,flip,tackle,False,261
80,22,flip,other,False,258
59,62,intra,,False,257
103,80,intra,,False,257
15,38,flip,tackle,False,257
26,27,flip,pressure_loss,False,256
23,50,intra,,False,254
80,81,intra,,False,254
80,43,flip,other,False,253
0,27,intra,,False,252
26,10,intra,,False,252
103,49,flip,bad_pass,False,250
9,44,flip,pressure_loss,False,250
43,9,flip,tackle,False,248
57,56,intra,,False,247
44,86,flip,other,False,246
52,27,intra,,False,245
80,26,flip,interception,False,245
32,84,flip,miscontrol,False,244
33,86,flip,pressure_loss,False,244
23,16,intra,,False,244
86,68,intra,,False,242
16,22,flip,restart_goal_kick,True,241
69,86,intra,,False,241
50,22,flip,restart_goal_kick,True,240
26,44,intra,,False,236
49,4,flip,interception,False,235
40,33,intra,,False,235
9,62,flip,foul_won,False,235
26,80,flip,pressure_loss,False,234
33,84,flip,bad_pass,False,234
22,81,flip,bad_pass,False,233
39,32,intra,,False,233
6,33,intra,,False,232
21,74,flip,other,False,230
6,8,intra,,False,229
0,22,flip,restart_goal_kick,True,228
84,16,flip,clearance_conceded,False,224
84,87,intra,,False,224
0,27,flip,restart_kickoff,True,223
60,10,flip,restart_throw_in,True,220
15,38,flip,interception,False,218
29,68,flip,pressure_loss,False,217
62,10,flip,interception,False,217
4,22,intra,,False,215
73,20,flip,other,False,215
32,22,flip,pressure_loss,False,215
74,71,intra,,False,212
43,27,intra,,False,212
20,18,intra,,False,212
74,39,flip,other,False,211
62,8,flip,other,False,211
84,49,flip,clearance_conceded,False,211
100,49,flip,clearance_conceded,False,210
65,68,intra,,False,209
26,78,flip,other,False,209
40,42,intra,,False,208
77,80,intra,,False,208
80,9,flip,other,False,207
84,21,intra,,False,207
44,102,flip,pressure_loss,False,206
26,80,flip,foul_won,False,206
86,26,flip,other,False,206
97,42,flip,other,False,205
10,38,intra,,False,204
